Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C15850,CL21A106KAYNNNE,Samsung Electro-Mechanics,0805,,10uF ±10% 25V Ceramic Capacitor X5R 0805,yes,20,20,20,0.0871,1.74,https://www.lcsc.com/product-detail/C15850.html
2,C86816,GRM21BR61E226ME44L,muRata,0805,,22uF ±20% 25V Ceramic Capacitor X5R 0805,yes,10,10,10,0.0698,0.70,https://www.lcsc.com/product-detail/C86816.html
3,C965813,XL-2012UOC,XINGLIGHT,0805,,Orange 605nm LED Indication - Discrete 2.3V 0805,yes,50,50,50,0.0096,0.48,https://www.lcsc.com/product-detail/C965813.html
4,C165948,TYPE-C-31-M-12,Korean Hroparts Elec,SMD,,USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount,yes,5,5,5,0.1724,0.86,https://www.lcsc.com/product-detail/C165948.html
5,C19944603,DS1095-WNR0,CONNFLY Elec,"Through Hole,Right Angle",,"1 -40℃~+85℃ Right Angle Through Hole,Right Angle USB, DVI, HDMI Connector Assemblies RoHS",yes,5,5,5,0.2076,1.04,https://www.lcsc.com/product-detail/C19944603.html
6,C131337,B2B-PH-K-S(LF)(SN),JST,"Through Hole,P=2mm",,Connector Header 2 position 2mm Pitch 2A Through Hole -25℃~+85℃,yes,20,20,20,0.0356,0.71,https://www.lcsc.com/product-detail/C131337.html
7,C5355380,XFL4020-102MEC,Coilcraft,"SMD,4x4mm",,"11A 1uH ±20% 10.8mΩ 5.4A Magnetic Shielded Inductor SMD,4x4mm Fixed Inductors RoHS",yes,1,1,1,2.5134,2.51,https://www.lcsc.com/product-detail/C5355380.html
8,C27834,0805W8F5101T5E,UNI-ROYAL,0805,,5.1kΩ ±1% 125mW 0805 Thick Film Resistor,yes,100,100,100,0.0065,0.65,https://www.lcsc.com/product-detail/C27834.html
9,C2907219,FRC0805F1002TS,FOJAN,0805,,10kΩ ±1% 125mW 0805 Thick Film Resistor,yes,100,100,100,0.0035,0.35,https://www.lcsc.com/product-detail/C2907219.html
10,C114246,RC0805FR-072RL,YAGEO,0805,,125mW 2Ω 150V Thick Film Resistor ±1% ±200ppm/℃ 0805 Chip Resistor - Surface Mount RoHS,yes,50,50,50,0.0261,1.31,https://www.lcsc.com/product-detail/C114246.html
11,C388885,EVQPUD02K,PANASONIC,"SMD,4.7x4.5mm",,"Tactile Switch SPST 2.2N 1.65mm J-Lead 4.7mm x 4.5mm Surface Mount, Right Angle",yes,5,5,5,0.2299,1.15,https://www.lcsc.com/product-detail/C388885.html
12,C181692,IP5306,INJOINIC,ESOP-8,,I2C Lithium Battery 2.1A ESOP-8 Battery Management RoHS,yes,5,5,5,0.2989,1.49,https://www.lcsc.com/product-detail/C181692.html
