Designator,Mid X,Mid Y,Rotation,Layer
C1,61.0,-39.0,90.0,top
C2,57.0,-39.0,270.0,top
C3,61.0,-47.0,270.0,top
C4,40.0,-48.0,270.0,top
C5,57.0,-47.0,270.0,top
C6,34.0,-48.0,90.0,top
C7,59.0,-47.0,270.0,top
D1,33.0,-33.0,0.0,top
D2,52.0,-32.0,270.0,top
D3,49.0,-32.0,90.0,top
D4,46.0,-32.0,270.0,top
D5,63.0,-32.0,270.0,top
D6,43.0,-32.0,90.0,top
J1,34.0,-40.0,270.0,top
J2,70.9165,-40.000001,90.0,top
J3,45.45,-46.0,90.0,top
L1,52.0,-47.0,180.0,top
R1,41.0,-43.0,270.0,top
R2,41.0,-37.0,90.0,top
R3,37.0,-33.0,180.0,top
R4,59.0,-39.0,270.0,top
R5,57.0,-36.0,180.0,top
R6,63.0,-36.0,0.0,top
R7,37.0,-48.0,270.0,top
SW1,57.0,-32.0,0.0,top
U1,52.0,-40.0,270.0,top
